title,price,property_type,location,publication_date,link
Maison dalila,260 000,Maisons,El Mourouj,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3359430
Terrain pour bàtir,40 000,Terrain nu,El Mourouj,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3255474
S1 et s0 avec grande ter,880,App. 2 pièc,Riadh Landlous,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385584
Local khelidia,55 000,Surfaces,Khelidia,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3345390
S2 jardin de carthage,3 500,App. 3 pièc,Jardins de Cart,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386265
S2 meublé au jardins de,3 300,App. 3 pièc,Jardins de Cart,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388104
Chic s1 aux jardin de ca,1 850,App. 2 pièc,Jardins de Cart,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386817
Appartement pour famille,140 000,App. 2 pièc,Hammam Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3229388
Appartement lumineux s2,1 700,App. 3 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389670
Appartement de charme da,1 400,App. 2 pièc,Sidi Daoud,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387636
S3 rdc résidence calme b,580 000,App. 4 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388256
Appartement haut standing a n,1 000,App. 3 pièc,Hammam Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3229259
Appartement haut standing a n,900,App. 3 pièc,Hammam Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3144167
Immeuble sur artère prin,11 000,Bureau,Tunis Belvedere,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3341911
Villa usg professionnel,5 200,Bureau,El Menzah 1,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382804
S plus deux très propre,1 000,App. 3 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390422
Penthouse s plus 2,325 000,App. 3 pièc,Sfax,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390960
Etage de villa s4 à la m,1 800,App. 5 pièc,Cite Des Juges,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390734
Appartement s 2 au rdc mourou,115 000,App. 2 pièc,El Mourouj,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390959
S1 à ain zaghouan,175 000,App. 2 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390731
S1 avec jardin à la mars,250 000,App. 2 pièc,Cite Erriadh,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390726
Appartement s4 meublé,2 000,App. 4 pièc,El Menzah 5,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390376
Rez de jardin s2 avec ga,1 100,Maisons,El Manar 2,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387860
Offre à ne pas rater ter,161 000,Terrain agr,Chatt Meriem,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346093
Terrain cloturé 5050m su,1 262 500,Terrain agr,Chatt Meriem,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3284567
Ter 254m2   avec voisin  sur,255 000,Terrain nu,El Manar 1,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389658
Appt s2 h standing rev 1000 d,245 000,App. 3 pièc,Cite El Ghazala,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3355759
S plus deux bien exposé,240 000,App. 3 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385916
Appt s2 luxueux à ta,2 400,App. 3 pièc,Chatt Meriem,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3147710
Bureau h3 à montplaisir,1 500,Surfaces,Montplaisir,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390216
S1 totalement meublé,600,App. 1 pièc,La Soukra,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3036013
Luxueux s2 meublé par se,1 550,App. 3 pièc,La Soukra,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2966900
Dépôt à boumhal bassatine,900,Autre,Bou Mhel,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3304517
S1 meublé a tunis,550,App. 2 pièc,La Soukra,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2964641
Terrain 1324m planté 12,158 880,Terrain agr,Chatt Meriem,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385203
Un appartement à menzeh 8,420 000,App. 4 pièc,El Menzah 8,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3374827
Terrain à oued lil avec des b,625 000,Terrain agr,Oued Ellil,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3336777
Magnifique bureaux de tr,900,Bureau,Sahloul,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3080269
Etage villa à ariana supérieu,900,Autre,Ariana,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378656
Immeuble haut standing s,7 000,Bureau,Mutuelle Ville,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342829
Plateau sup 300 m à el m,5 000,Bureau,El Menzah 4,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342830
Usg habitation ou bureau,1 600,App. 3 pièc,El Menzah 4,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3341905
Suite à aouina wahat appartem,1 300,App. 3 pièc,El Aouina,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380959
